ID	A_ID	Author_Initials	Title	City	Printed_in	Year	Author_full_name	Author_birth	Author_death	RP_biography
COL_182	A-5	Зилов А.М.	Басни Алексея Зилова	М.	Лазаревых	1835	Зилов Алексей Михайлович	1798	1865	2-339
COL_222	A-135	Ушаков А.А.	Рукописи из зеленого портфеля	М.	А. Семена	1836	NA	NA	NA	NA
COL_224	A-101	Шахова Е.Н.	Опыты в стихах пятнадцатилетней девицы Шаховой	СПб.	Вингебера	1837	Шахова Елисавета Никитична	1822	1899	NA
COL_225	A-103	Олин В.Н.	Странный бал. Повесть из рассказов на станции, и восемь стихотворений. Сочинение В. Олина	СПб.	III Отд. собств. Е.И.В. канц.	1838	Олин Валериан Николаевич	1790	1841	4-430
COL_226	A-27	Пуговишников А.М.	Романсы, песни и стихотворения, или Подарок на новый год любителям и любительницам пения. Сочинение А.П.	М.	Кирилова	1838	Пуговишников Александр Михайлович	конец 1790-х	после 1846	5-174
COL_227	NA	NA	Детский альбом на 1839 год, собрание стихотворений, повестей, рассказов и драматических разговоров, составленное А. Поповым. Год второй.	СПб.	III Отд. собств. Е.И.В. канц.	1839	NA	NA	NA	NA
COL_228	A-108	Глухарев И.Н.	Венок граций. Подарок любителям и любительницам пения и романсов, или Собрание разных стихов лучших и известных сочинителей, как то, А. Пушкина, И. Козлова, Г. Баратынского, и прочая. Собранные И… Г.л.у…вым	М.	Лазаревых	1838	Глухарев Иван Никитич	1809	после 1840	1-583
COL_229	NA	NA	Российская хрестоматия, или Отборные сочинения отечественных писателей в стихах и прозе: В 2 ч. Изд. 2-е	СПб.	Внутренней Стражи	1837	NA	NA	NA	NA
COL_231	NA	NA	Разные стихотворения	М.	Лазаревых	1837	NA	NA	NA	NA
COL_232	A-41	Глинка Ф.Н.	1812 год. Отрывок из рассказа. Посвящено людям XII года. Ф.Н. Глинки	М.	Степанова	1839	Глинка Федор Николаевич	1786	1880	1-578
COL_233	A-104	Максимович М.	Киевлянин на 1840 год. Книга I. Изд. Михаил Максимович	Киев	Ун.	1840	Максимович Михаил Александрович	1804	1873	3-488
COL_235	A-59	Орлов А.А.	Панорама Москвы и ее окрестности	М.	NA	1836	Орлов Александр Анфимович	1790	1840	4-446
COL_236	A-59	Орлов А.А.	Торжественное заложение храма по имя Христа Спасителя	М.	NA	1840	Орлов Александр Анфимович	1790	1840	4-446
COL_237	NA	NA	Собрание стихов для конфект (печ. лист)	М.	Кирилова	1837	NA	NA	NA	NA
COL_238	NA	NA	Речи и стихи, произнесенные в торжественном собрании Ярославского  Демидовского лицея 15 января 1838 года	М.	Ун.	1838	NA	NA	NA	NA
COL_239	NA	NA	Послание к О. Иоанну, в г. Новоалександровск	СПб.	Греча	1838	NA	NA	NA	NA
COL_240	NA	NA	Три безделки	М.	Кирилова	1838	NA	NA	NA	NA
COL_241	NA	NA	Гостинец милым малюткам на новый год, или собрание нравоучительных детских басен и сказов с картинками	М.	Кирилова	1839	NA	NA	NA	NA
