COL_ID	A_ID	Author_Initials	Title	City	Year	Sovremennik	OZ	CO	MN	Telescope	JMNP	SP	BdCH
COL_195	A-126	Рыбников	Стихи Директору Московской Практической Академии Статскому Советнику А.И. Шредеру. Соч. Рыбникова	М.	1840	NA	NA	NA	NA	NA	NA	NA	NA
COL_196	NA	NA	Стихи господам членам Немецкого клуба на 1840 год	М.	1840	NA	NA	NA	NA	NA	NA	NA	NA
COL_197	A-59	Орлов А.А.	С радостными чувствами благоговения, жданный 1840 год. Соч. Александра Орлова	М.	1840	NA	NA	NA	NA	NA	NA	NA	NA
COL_198	A-127	Ободовский П.Г.	Царский цветник. На русском и немецком языках	СПб.	1840	NA	NA	NA	NA	NA	NA	NA	NA
COL_205	A-65	Владиславлев В.А.	Утренняя заря Альманах Владиславлева на 1840 год	СПб.	1840	1840. Т. 17. С. 68-69	1839. Т. 7. Отд. 7. С. 3-15	1840. Т. 1. Кн. 1. С. 171-173	NA	NA	1840. Ч. 25. Отд. VI. С. 106-110	1840. № 23. С. 91	1840. Т. 38. С. 1-5
COL_215	NA	NA	Песнь русского барда	М.	1840	NA	1840. Т. 13. Отд. 6. С. 28	NA	NA	NA	NA	NA	NA
COL_216	A-129	Васильев М.	Провинциал в Москве, или послание к друзьям моим, в стихах. Соч. крестьянина Васильева	М.	1840	NA	NA	NA	NA	NA	NA	NA	NA
COL_182	A-5	Зилов А.М.	Басни Алексея Зилова	М.	1835	NA	NA	NA	NA	NA	NA	NA	1835. Т. 10. С. 8-9
COL_222	A-135	Ушаков А.А.	Рукописи из зеленого портфеля	М.	1836	NA	NA	NA	NA	NA	1838. Ч. 20. № 12. С. 589	NA	1837. Т. 20. С. 37-38
COL_229	NA	NA	Российская хрестоматия, или Отборные сочинения отечественных писателей в стихах и прозе: В 2 ч. Изд. 2-е	СПб.	1837	NA	NA	NA	NA	NA	NA	NA	1837. Т. 24. С. 47-49
COL_224	A-101	Шахова Е.Н.	Опыты в стихах пятнадцатилетней девицы Шаховой	СПб.	1837	NA	NA	NA	NA	NA	1839. Ч. 23. Отд. VI. С. 118	1837. № 214. 24 сент. С. 853-854	1837. Т. 25. С. 48
COL_225	A-103	Олин В.Н.	Странный бал. Повесть из рассказов на станции, и восемь стихотворений. Сочинение В. Олина	СПб.	1838	NA	NA	NA	NA	NA	NA	1838. № 44. 22 фев. С. 167	1838. Т. 28. С. 21-22
COL_228	A-108	Глухарев И.Н.	Венок граций. Подарок любителям и любительницам пения и романсов, или Собрание разных стихов лучших и известных сочинителей, как то, А. Пушкина, И. Козлова, Г. Баратынского, и прочая. Собранные И… Г.л.у…вым	М.	1838	NA	NA	NA	NA	NA	NA	NA	1838. Т. 29. С. 23-24
COL_226	A-27	Пуговишников А.М.	Романсы, песни и стихотворения, или Подарок на новый год любителям и любительницам пения. Сочинение А.П.	М.	1838	1838. Т. 11. С. 61-62	NA	NA	NA	NA	NA	NA	1838. Т. 29. С. 27-28
COL_227	NA	NA	Детский альбом на 1839 год, собрание стихотворений, повестей, рассказов и драматических разговоров, составленное А. Поповым. Год второй.	СПб.	1839	NA	1839. Т. 2. Отд. 7. С. 89-90	1839. Т. 7. Отд. 4. С. 70-71	NA	NA	NA	NA	1839. Т. 32. С. 19
COL_231	NA	NA	Разные стихотворения	М.	1837	NA	NA	NA	NA	NA	NA	NA	NA
COL_237	NA	NA	Собрание стихов для конфект (печ. лист)	М.	1837	NA	NA	NA	NA	NA	NA	NA	NA
COL_238	NA	NA	Речи и стихи, произнесенные в торжественном собрании Ярославского  Демидовского лицея 15 января 1838 года	М.	1838	NA	NA	NA	NA	NA	NA	NA	NA
COL_239	NA	NA	Послание к О. Иоанну, в г. Новоалександровск	СПб.	1838	NA	NA	NA	NA	NA	NA	NA	NA
COL_240	NA	NA	Три безделки	М.	1838	NA	NA	1838. Т. 4. Отд. 4. С. 126-127	NA	NA	NA	NA	NA
COL_232	A-41	Глинка Ф.Н.	1812 год. Отрывок из рассказа. Посвящено людям XII года. Ф.Н. Глинки	М.	1839	NA	NA	1839. Т. 10. Отд. 4. С. 145-147	NA	NA	NA	NA	NA
COL_233	A-104	Максимович М.	Киевлянин на 1840 год. Книга I. Изд. Михаил Максимович	Киев	1840	1840. Т. 19. С. 143-144	1840. Т. 10. Отд. 6. С. 8-9	1840. Т. 2. Кн. 4. С. 833-836	NA	NA	NA	NA	NA
COL_241	NA	NA	Гостинец милым малюткам на новый год, или собрание нравоучительных детских басен и сказов с картинками	М.	1839	NA	1839. Т. 3. № 5. Отд. 7. С. 175	NA	NA	NA	NA	NA	NA
